Website section,Exact claim or implied claim,Claim type,Technology/system involved,Chemicals/materials involved,Unit operations involved,Bottleneck involved,Readiness/manufacturing issue involved,Needed evidence type,Evidence status,Best available sources,Source quality rating,Confidence level,Notes on uncertainty,Suggested revised wording if too strong
Chemical spine,Methane is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Methane,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,"Muscatello, A. C., et al. 2012. Mars In Situ Resource Utilization Technology Evaluation. NASA NTRS. (https://ntrs.nasa.gov/api/citations/20120001775/downloads/20120001775.pdf) | U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing)",Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Methane as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Syngas is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Syngas,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,"Calderon, O. R., et al. 2024. Sustainable Aviation Fuel State-of-Industry Report. NREL. (https://docs.nrel.gov/docs/fy24osti/87802.pdf) | Ozkan, M., et al. 2024. Forging a sustainable sky: aviation e-fuels review. PMC / peer-reviewed review. (https://pmc.ncbi.nlm.nih.gov/articles/PMC10960063/)",Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Syngas as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Oxygen is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Oxygen,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,"NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | Muscatello, A. C., et al. 2012. Mars In Situ Resource Utilization Technology Evaluation. NASA NTRS. (https://ntrs.nasa.gov/api/citations/20120001775/downloads/20120001775.pdf) | NASA. 2023. In-Situ Resource Utilization overview. (https://www.nasa.gov/overview-in-situ-resource-utilization/)",Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Oxygen as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Nitrogen is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Nitrogen,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,International Energy Agency. 2021. Ammonia Technology Roadmap: Towards more sustainable nitrogen fertiliser production. (https://www.iea.org/reports/ammonia-technology-roadmap) | U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing),Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Nitrogen as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Water is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Water,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,"Ahrestani, Z., et al. 2023. An overview of atmospheric water harvesting methods. PMC / peer-reviewed review. (https://pmc.ncbi.nlm.nih.gov/articles/PMC10073925/) | NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/) | Sholl, D. S.; Lively, R. P. 2016. Seven chemical separations to change the world. Nature 532, 435–437. DOI: 10.1038/532435a. (https://www.nature.com/articles/532435a)",Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Water as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Sulfuric acid is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Sulfuric acid,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025) | U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing),Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Sulfuric acid as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Sodium hydroxide is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Sodium hydroxide,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,"U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing) | Sholl, D. S.; Lively, R. P. 2016. Seven chemical separations to change the world. Nature 532, 435–437. DOI: 10.1038/532435a. (https://www.nature.com/articles/532435a)",Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Sodium hydroxide as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Chlorine is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Chlorine,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,"U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing) | Sholl, D. S.; Lively, R. P. 2016. Seven chemical separations to change the world. Nature 532, 435–437. DOI: 10.1038/532435a. (https://www.nature.com/articles/532435a)",Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Chlorine as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Silicon is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Silicon,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025) | National Institute of Standards and Technology. 2023. CHIPS Metrology Program. (https://www.nist.gov/chips/research-development-programs/metrology-program),Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Silicon as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Lithium is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Lithium,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025) | EPRI / U.S. Department of Energy. 2024. Fusion Blankets Research Objectives. (https://www.energy.gov/articles/epri-fusion-blankets-report-2024),Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Lithium as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Sodium is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Sodium,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025) | U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing),Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Sodium as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Nickel is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Nickel,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025),Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Nickel as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Cobalt is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Cobalt,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025),Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Cobalt as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Manganese is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Manganese,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025),Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Manganese as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Copper is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Copper,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025),Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Copper as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Aluminum is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Aluminum,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025),Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Aluminum as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Rare earth elements is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Rare earth elements,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025),Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Rare earth elements as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Graphite is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Graphite,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025),Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Graphite as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Cement/concrete chemistries is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Cement/concrete chemistries,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,"International Energy Agency. 2024. Cement. (https://www.iea.org/energy-system/industry/cement) | International Energy Agency and Cement Sustainability Initiative. 2018. Technology Roadmap: Low-Carbon Transition in the Cement Industry. (https://www.iea.org/reports/technology-roadmap-low-carbon-transition-in-the-cement-industry) | Driver, J. G., et al. 2024. Global decarbonization potential of CO2 mineralization in concrete materials. Nature Communications / PMC. (https://pmc.ncbi.nlm.nih.gov/articles/PMC11260098/)",Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Cement/concrete chemistries as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Polymers is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Polymers,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,"U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing) | Recent advances in conductive materials for printed electronics. 2024. Polymer Advanced Technologies. (https://onlinelibrary.wiley.com/doi/10.1002/pat.6581) | Wang, S., and M. W. Urban. 2020. Self-healing polymers. Nature Reviews Materials. (https://ui.adsabs.harvard.edu/abs/2020NatRM...5..562W/abstract)",Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Polymers as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Conductive inks is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Conductive inks,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,"Recent advances in conductive materials for printed electronics. 2024. Polymer Advanced Technologies. (https://onlinelibrary.wiley.com/doi/10.1002/pat.6581) | Roelkens, G., et al. 2024. Present and future of micro-transfer printing for heterogeneous integration. APL Photonics. (https://pubs.aip.org/aip/app/article/9/1/010901/2932278/Present-and-future-of-micro-transfer-printing-for)",Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Conductive inks as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Photoresists is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Photoresists,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,National Institute of Standards and Technology. 2023. CHIPS Metrology Program. (https://www.nist.gov/chips/research-development-programs/metrology-program) | National Institute of Standards and Technology. 2023. Metrology Gaps in the Semiconductor Ecosystem. (https://www.nist.gov/system/files/documents/2023/06/05/CHIPS_Metrology-Gaps-in-the-Semi-Ecosystem_0.pdf) | International Technology Roadmap for Semiconductors. 2015. Yield Enhancement. (https://www.semiconductors.org/wp-content/uploads/2018/06/5_2015-ITRS-2.0-Yield-Enhancement.pdf),Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Photoresists as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Solvents is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Solvents,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,"U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing) | Sholl, D. S.; Lively, R. P. 2016. Seven chemical separations to change the world. Nature 532, 435–437. DOI: 10.1038/532435a. (https://www.nature.com/articles/532435a)",Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Solvents as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Electrolytes is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Electrolytes,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | International Energy Agency. 2024. Global Hydrogen Review 2024. (https://www.iea.org/reports/global-hydrogen-review-2024),Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Electrolytes as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
