Card ID,Card name,Category,Evidence posture,Source count shown,Tier 1 count,Tier 2 count,Source groups,Caution flag,Evidence note,Recommended claim wording
artificial-photosynthesis,Artificial photosynthesis,Clean Energy Civilization,Roadmap / early-stage sourced,12,12,0,Carbon systems; Carbon-negative concrete; Chemical spine; Clean fuels and artificial photosynthesis; Energy storage; Overall thesis; Synthetic fuels; Unit operations,Medium caution,"Sources support active research, demonstrations, agency roadmaps, or early deployment pathways. Scale, economics, reliability, and infrastructure remain major unresolved gates.","Frame as active research, demonstration, or roadmap-stage; keep scale/cost/timeline claims qualified."
thermal-batteries,Thermal batteries,Clean Energy Civilization,Direct starter set,12,12,0,Atmospheric water harvesting; Chemical spine; Clean fuels and artificial photosynthesis; Energy storage; Industrial decarbonization; Overall thesis; Space systems; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
grid-scale-flow-batteries,Grid-scale flow batteries,Clean Energy Civilization,Direct starter set,12,12,0,Advanced membranes and materials; Atmospheric water harvesting; Chemical spine; Clean fuels and artificial photosynthesis; Energy storage; Overall thesis; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
ambient-geothermal-networks,Ambient geothermal networks,Clean Energy Civilization,Direct starter set,12,12,0,Atmospheric water harvesting; Chemical spine; Clean fuels and artificial photosynthesis; Energy storage; Industrial decarbonization; Overall thesis; Space systems; Synthetic fuels; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
methane-pyrolysis-for-clean-hydrogen,Methane pyrolysis for clean hydrogen,Carbon and Atmospheric Engineering,Direct starter set,12,12,0,Carbon systems; Carbon-negative concrete; Chemical spine; Industrial decarbonization; Overall thesis; Space systems; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
atmospheric-water-harvesting,Atmospheric water harvesting,Future Water Systems,Direct starter set,12,12,0,Atmospheric water harvesting; Carbon systems; Future water systems; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
desalination-megastructures,Desalination megastructures,Future Water Systems,Direct starter set,12,12,0,Atmospheric water harvesting; Carbon systems; Carbon-negative concrete; Future water systems; Space systems; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
brine-mining,Brine mining,Future Water Systems,Direct starter set,12,12,0,Atmospheric water harvesting; Chemical spine; Critical minerals and brines; Fusion; Future water systems; Space systems; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
self-cleaning-city-water-systems,Self-cleaning city water systems,Future Water Systems,Direct starter set,12,12,0,Atmospheric water harvesting; Carbon-negative concrete; Future water systems; Printed / heterogeneous electronics; Smart buildings; Space systems; Synthetic fuels; Unit operations; Vertical farming,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
pfas-destruction-systems,PFAS destruction systems,Future Water Systems,Direct starter set,12,12,0,Atmospheric water harvesting; Carbon systems; Carbon-negative concrete; Chemical spine; Future water systems; Space systems; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
wastewater-to-drinking-water-systems,Wastewater-to-drinking-water systems,Future Water Systems,Direct starter set,12,12,0,Atmospheric water harvesting; Carbon systems; Carbon-negative concrete; Chemical spine; Future water systems; Space systems; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
city-scale-nutrient-recovery,City-scale nutrient recovery,Future Water Systems,Direct starter set,12,12,0,Atmospheric water harvesting; Chemical spine; Future water systems; Space systems; Synthetic fuels; Unit operations; Vertical farming,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
smart-stormwater-infrastructure,Smart stormwater infrastructure,Future Water Systems,Direct starter set,12,12,0,Atmospheric water harvesting; Chemical spine; Fusion; Future water systems; Space systems; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
modular-emergency-water-units,Modular emergency water units,Future Water Systems,Direct starter set,12,12,0,Advanced membranes and materials; Atmospheric water harvesting; Chemical spine; Future water systems; Manufacturing / QA; Space systems; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
closed-loop-building-water,Closed-loop building water,Future Water Systems,Direct starter set,12,12,0,Advanced membranes and materials; Atmospheric water harvesting; Future water systems; Printed / heterogeneous electronics; Space systems; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
smart-glass-buildings,Smart glass buildings,Future Materials and Smart Surfaces,Direct starter set,12,12,0,Advanced membranes and materials; Atmospheric water harvesting; Chemical spine; Manufacturing / QA; Overall thesis; Smart buildings; Space systems; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
self-healing-concrete,Self-healing concrete,Future Materials and Smart Surfaces,Direct starter set,12,12,0,Advanced membranes and materials; Carbon systems; Carbon-negative concrete; Chemical spine; Fusion,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
adaptive-building-skins,Adaptive building skins,Future Materials and Smart Surfaces,Direct starter set,12,12,0,Advanced membranes and materials; Chemical spine; Industrial decarbonization; Manufacturing / QA; Printed / heterogeneous electronics; Smart buildings; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
radiative-cooling-materials,Radiative cooling materials,Future Materials and Smart Surfaces,Direct starter set,12,12,0,Advanced membranes and materials; Carbon-negative concrete; Chemical spine; Overall thesis; Smart buildings; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
transparent-solar-windows,Transparent solar windows,Clean Energy Civilization,Roadmap / early-stage sourced,12,12,0,Chemical spine; Clean fuels and artificial photosynthesis; Energy storage; Manufacturing / QA; Overall thesis; Printed / heterogeneous electronics; Smart buildings,Medium caution,"Sources support active research, demonstrations, agency roadmaps, or early deployment pathways. Scale, economics, reliability, and infrastructure remain major unresolved gates.","Frame as active research, demonstration, or roadmap-stage; keep scale/cost/timeline claims qualified."
3d-printed-buildings,3D-printed buildings,Advanced Manufacturing and Microfactories,Direct starter set,12,12,0,Atmospheric water harvesting; Carbon-negative concrete; Digital twins and process control; Industrial decarbonization; Smart manufacturing; Space systems; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
living-buildings,Living buildings,Future Cities and Built Environments,Direct starter set,12,12,0,Carbon systems; Carbon-negative concrete; Digital twins and process control; Future water systems; Overall thesis; Smart buildings; Space systems; Vertical farming and controlled environments,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
urban-vertical-farms,Urban vertical farms,Future Cities and Built Environments,Direct starter set,12,12,0,Atmospheric water harvesting; Digital twins and process control; Future water systems; Overall thesis; Smart buildings; Space systems; Unit operations; Vertical farming; Vertical farming and controlled environments,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
autonomous-waste-sorting-facilities,Autonomous waste sorting facilities,Advanced Manufacturing and Microfactories,Direct starter set,12,12,0,Advanced membranes and materials; Atmospheric water harvesting; Digital twins and process control; Overall thesis; Printed / heterogeneous electronics; Smart manufacturing; Space systems; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
pneumatic-waste-networks,Pneumatic waste networks,Future Cities and Built Environments,Direct starter set,12,12,0,Atmospheric water harvesting; Digital twins and process control; Future cities / waste systems; Future water systems; Overall thesis; Smart buildings; Smart manufacturing; Space systems; Unit operations; Vertical farming and controlled environments,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
underground-logistics-networks,Underground logistics networks,Future Cities and Built Environments,Direct starter set,12,12,0,Atmospheric water harvesting; Digital twins and process control; Future cities / logistics; Future water systems; Overall thesis; Smart buildings; Smart manufacturing; Space systems; Unit operations; Vertical farming and controlled environments,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
modular-megastructure-cities,Modular megastructure cities,Future Cities and Built Environments,Direct starter set,12,12,0,Atmospheric water harvesting; Digital twins and process control; Future cities / modular construction; Future water systems; Overall thesis; Smart buildings; Space systems; Unit operations; Vertical farming and controlled environments,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
climate-controlled-pedestrian-corridors,Climate-controlled pedestrian corridors,Future Cities and Built Environments,Direct starter set,12,12,0,Chemical spine; Digital twins and process control; Fusion; Future cities / pedestrian climate systems; Future water systems; Overall thesis; Smart buildings; Vertical farming and controlled environments,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
city-scale-digital-twins,City-scale digital twins,"Computing, Semiconductors, and Ambient Intelligence",Direct starter set,12,12,0,Atmospheric water harvesting; Computing and semiconductors; Digital twins and process control; Manufacturing / QA; Smart manufacturing; Space systems; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
urban-heat-island-reversal-systems,Urban heat-island reversal systems,Future Cities and Built Environments,Direct starter set,12,12,0,Advanced membranes and materials; Atmospheric water harvesting; Chemical spine; Digital twins and process control; Fusion; Future water systems; Overall thesis; Smart buildings; Space systems; Unit operations; Vertical farming and controlled environments,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
flying-cars-evtol-air-taxis,Flying cars / eVTOL air taxis,Transportation and Mobility,Direct starter set,12,12,0,Advanced air mobility; Chemical spine; Electric and hydrogen aviation; Fusion; Overall thesis; Readiness frameworks,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
hyperloop-style-transport,Hyperloop-style transport,Transportation and Mobility,Roadmap / early-stage sourced,12,12,0,Advanced air mobility; Chemical spine; Electric and hydrogen aviation; Fusion; Readiness frameworks; Transportation / hyperloop,Medium caution,"Sources support active research, demonstrations, agency roadmaps, or early deployment pathways. Scale, economics, reliability, and infrastructure remain major unresolved gates.","Frame as active research, demonstration, or roadmap-stage; keep scale/cost/timeline claims qualified."
autonomous-electric-transit-pods,Autonomous electric transit pods,Transportation and Mobility,Direct starter set,12,12,0,Advanced air mobility; Chemical spine; Electric and hydrogen aviation; Fusion; Transportation / autonomous transit; Transportation / smart highways,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
hydrogen-aircraft,Hydrogen aircraft,Transportation and Mobility,Roadmap / early-stage sourced,12,12,0,Advanced air mobility; Carbon systems; Carbon-negative concrete; Chemical spine; Electric and hydrogen aviation; Synthetic fuels; Unit operations,Medium caution,"Sources support active research, demonstrations, agency roadmaps, or early deployment pathways. Scale, economics, reliability, and infrastructure remain major unresolved gates.","Frame as active research, demonstration, or roadmap-stage; keep scale/cost/timeline claims qualified."
electric-aviation,Electric aviation,Transportation and Mobility,Direct starter set,12,12,0,Advanced air mobility; Chemical spine; Electric and hydrogen aviation; Energy storage; Fusion; Industrial decarbonization; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
maglev-trains,Maglev trains,Transportation and Mobility,Direct starter set,12,12,0,Advanced air mobility; Chemical spine; Electric and hydrogen aviation; Fusion; Transportation / maglev; Transportation / smart highways,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
self-healing-roads,Self-healing roads,Future Materials and Smart Surfaces,Direct starter set,12,12,0,Advanced membranes and materials; Atmospheric water harvesting; Chemical spine; Materials / roads; Printed / heterogeneous electronics; Space systems; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
robotic-construction-fleets,Robotic construction fleets,Advanced Manufacturing and Microfactories,Direct starter set,12,12,0,Atmospheric water harvesting; Carbon-negative concrete; Digital twins and process control; Robotics / construction; Smart manufacturing,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
smart-highways,Smart highways,Transportation and Mobility,Direct starter set,12,12,0,Advanced air mobility; Atmospheric water harvesting; Chemical spine; Electric and hydrogen aviation; Transportation / autonomous transit; Transportation / smart highways,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
wireless-road-charging,Wireless road charging,Future Cities and Built Environments,Direct starter set,12,12,0,Atmospheric water harvesting; Chemical spine; Digital twins and process control; Energy storage; Fusion; Future water systems; Overall thesis; Smart buildings; Unit operations; Vertical farming and controlled environments,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
autonomous-factories,Autonomous factories,Advanced Manufacturing and Microfactories,Direct starter set,12,12,0,Atmospheric water harvesting; Chemical spine; Clean fuels and artificial photosynthesis; Digital twins and process control; Smart manufacturing; Space systems; Synthetic fuels; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
factory-in-a-box,Factory-in-a-box,Advanced Manufacturing and Microfactories,Direct starter set,12,12,0,Atmospheric water harvesting; Chemical spine; Digital twins and process control; Overall thesis; Smart manufacturing; Space systems; Synthetic fuels; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
self-replicating-manufacturing-systems,Self-replicating manufacturing systems,Advanced Manufacturing and Microfactories,Speculative / analogue-sourced,12,12,0,Atmospheric water harvesting; Digital twins and process control; Overall thesis; Smart manufacturing; Space systems; Speculative manufacturing / self-replication; Unit operations,High caution,"Sources support adjacent mechanisms, component technologies, or roadmap analogues; they do not verify the full sci-fi system. Keep this card explicitly hypothetical and avoid performance, cost, or deployment claims.",Frame as a hypothetical process architecture supported by adjacent mechanisms or analogues; do not imply deployment or full-system feasibility.
molecular-assemblers,Molecular assemblers,Advanced Manufacturing and Microfactories,Speculative / analogue-sourced,12,12,0,Atmospheric water harvesting; Digital twins and process control; Smart manufacturing; Space systems; Speculative manufacturing / atomically precise manufacturing; Speculative manufacturing / molecular assembly; Speculative manufacturing / self-replication; Unit operations,High caution,"Sources support adjacent mechanisms, component technologies, or roadmap analogues; they do not verify the full sci-fi system. Keep this card explicitly hypothetical and avoid performance, cost, or deployment claims.",Frame as a hypothetical process architecture supported by adjacent mechanisms or analogues; do not imply deployment or full-system feasibility.
programmable-matter,Programmable matter,Future Materials and Smart Surfaces,Speculative / analogue-sourced,12,12,0,Advanced membranes and materials; Carbon-negative concrete; Chemical spine; Materials / programmable matter; Printed / heterogeneous electronics; Speculative manufacturing / self-replication; Unit operations,High caution,"Sources support adjacent mechanisms, component technologies, or roadmap analogues; they do not verify the full sci-fi system. Keep this card explicitly hypothetical and avoid performance, cost, or deployment claims.",Frame as a hypothetical process architecture supported by adjacent mechanisms or analogues; do not imply deployment or full-system feasibility.
swarm-robotics,Swarm robotics,Advanced Manufacturing and Microfactories,Direct starter set,12,12,0,Chemical spine; Digital twins and process control; Fusion; Robotics / swarm systems; Smart manufacturing,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
robotic-maintenance-cities,Robotic maintenance cities,Advanced Manufacturing and Microfactories,Direct starter set,12,12,0,Atmospheric water harvesting; Digital twins and process control; Robotics / construction; Robotics / swarm systems; Smart manufacturing; Space systems; Transportation / smart highways; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
additive-manufacturing-of-metal-parts,Additive manufacturing of metal parts,Advanced Manufacturing and Microfactories,Direct starter set,12,12,0,Atmospheric water harvesting; Chemical spine; Clean fuels and artificial photosynthesis; Digital twins and process control; Smart manufacturing; Space systems; Synthetic fuels; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
roll-to-roll-printed-electronics,Roll-to-roll printed electronics,Advanced Manufacturing and Microfactories,Direct starter set,12,12,0,Chemical spine; Digital twins and process control; Fusion; Printed / heterogeneous electronics; Smart manufacturing; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
micromodular-printed-electronics,Micromodular printed electronics,Advanced Manufacturing and Microfactories,Direct starter set,12,12,0,Chemical spine; Digital twins and process control; Fusion; Manufacturing / QA; Printed / heterogeneous electronics; Smart manufacturing,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
ai-guided-process-development,AI-guided process development,"Computing, Semiconductors, and Ambient Intelligence",Direct starter set,12,12,0,Chemical spine; Computing and semiconductors; Digital twins and process control; Fusion; Manufacturing / QA; Smart manufacturing,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
lights-out-semiconductor-fabs,Lights-out semiconductor fabs,"Computing, Semiconductors, and Ambient Intelligence",Direct starter set,12,12,0,Advanced membranes and materials; Carbon-negative concrete; Chemical spine; Computing and semiconductors; Manufacturing / QA; Printed / heterogeneous electronics; Smart buildings,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
on-demand-pharmaceutical-factories,On-demand pharmaceutical factories,"Biomanufacturing, Medicine, and Human Augmentation",Direct starter set,12,12,0,Atmospheric water harvesting; Biomanufacturing; Pharmaceutical and medical manufacturing; Space systems; Tissue engineering and organ chips; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
modular-biomanufacturing,Modular biomanufacturing,"Biomanufacturing, Medicine, and Human Augmentation",Direct starter set,12,12,0,Atmospheric water harvesting; Biomanufacturing; Pharmaceutical and medical manufacturing; Smart manufacturing; Space systems; Synthetic fuels; Tissue engineering and organ chips; Unit operations; Vertical farming,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
self-optimizing-chemical-plants,Self-optimizing chemical plants,Advanced Manufacturing and Microfactories,Direct starter set,12,12,0,Atmospheric water harvesting; Chemical spine; Digital twins and process control; Overall thesis; Smart manufacturing; Space systems; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
graphene-membranes,Graphene membranes,Future Materials and Smart Surfaces,Roadmap / early-stage sourced,12,12,0,Advanced membranes and materials; Atmospheric water harvesting; Carbon systems; Carbon-negative concrete; Chemical spine; Future water systems; Unit operations,Medium caution,"Sources support active research, demonstrations, agency roadmaps, or early deployment pathways. Scale, economics, reliability, and infrastructure remain major unresolved gates.","Frame as active research, demonstration, or roadmap-stage; keep scale/cost/timeline claims qualified."
carbon-nanotube-elevators-cables,Carbon nanotube elevators / cables,Future Materials and Smart Surfaces,Speculative / analogue-sourced,12,12,0,Advanced membranes and materials; Carbon systems; Carbon-negative concrete; Chemical spine; Fusion; Unit operations,High caution,"Sources support adjacent mechanisms, component technologies, or roadmap analogues; they do not verify the full sci-fi system. Keep this card explicitly hypothetical and avoid performance, cost, or deployment claims.",Frame as a hypothetical process architecture supported by adjacent mechanisms or analogues; do not imply deployment or full-system feasibility.
